Starting Java to Python translation...
================================================================================
Found 149 Java files to translate
[1/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[2/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[3/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[4/149] Translating IllIIlIIII1.java... ✓ -> IllIIlIIII1.py
[5/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[6/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[7/149] Translating llllIllIl1.java... ✓ -> llllIllIl1.py
[8/149] Translating IllIIlIIII1.java... ✓ -> IllIIlIIII1.py
[9/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[10/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[11/149] Translating llllIllIl1.java... ✓ -> llllIllIl1.py
[12/149] Translating IlIlIIIlIlIlll1.java... ✓ -> IlIlIIIlIlIlll1.py
[13/149] Translating llIIIIlIlllIII1.java... ✓ -> llIIIIlIlllIII1.py
[14/149] Translating IlIlllIIlI1.java... ✓ -> IlIlllIIlI1.py
[15/149] Translating IllIIlIIII1.java... ✓ -> IllIIlIIII1.py
[16/149] Translating IlIllll1.java... ✓ -> IlIllll1.py
[17/149] Translating llIIllIl1.java... ✓ -> llIIllIl1.py
[18/149] Translating IlIlIIlIII1.java... ✓ -> IlIlIIlIII1.py
[19/149] Translating IIIlIllIlI1.java... ✓ -> IIIlIllIlI1.py
[20/149] Translating IIlIllIIll1.java... ✓ -> IIlIllIIll1.py
[21/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[22/149] Translating llllllIlIIIlll1.java... ✓ -> llllllIlIIIlll1.py
[23/149] Translating IlIIlllllI1.java... ✓ -> IlIIlllllI1.py
[24/149] Translating lllIlIIIlI1.java... ✓ -> lllIlIIIlI1.py
[25/149] Translating lllllIllIl1.java... ✓ -> lllllIllIl1.py
[26/149] Translating lIllIlIll1.java... ✓ -> lIllIlIll1.py
[27/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[28/149] Translating lIllIIIlIl1.java... ✓ -> lIllIIIlIl1.py
[29/149] Translating llllIllIl1.java... ✓ -> llllIllIl1.py
[30/149] Translating IlIllIlllIllI1.java... ✓ -> IlIllIlllIllI1.py
[31/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[32/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[33/149] Translating IllIIlIIII1.java... ✓ -> IllIIlIIII1.py
[34/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[35/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[36/149] Translating llllIllIl1.java... ✓ -> llllIllIl1.py
[37/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[38/149] Translating IllIIlIIII1.java... ✓ -> IllIIlIIII1.py
[39/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[40/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[41/149] Translating llllIllIl1.java... ✓ -> llllIllIl1.py
[42/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[43/149] Translating IllIIlIIII1.java... ✓ -> IllIIlIIII1.py
[44/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[45/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[46/149] Translating llllIllIl1.java... ✓ -> llllIllIl1.py
[47/149] Translating IlIlllIIlI1.java... ✓ -> IlIlllIIlI1.py
[48/149] Translating IllIIlIIII1.java... ✓ -> IllIIlIIII1.py
[49/149] Translating IlIlIIlIII1.java... ✓ -> IlIlIIlIII1.py
[50/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[51/149] Translating llllllIlIIIlll1.java... ✓ -> llllllIlIIIlll1.py
[52/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[53/149] Translating lIllIIIlIl1.java... ✓ -> lIllIIIlIl1.py
[54/149] Translating llllIllIl1.java... ✓ -> llllIllIl1.py
[55/149] Translating IlIllIlllIllI1.java... ✓ -> IlIllIlllIllI1.py
[56/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[57/149] Translating IlIlllIIlI1.java... ✓ -> IlIlllIIlI1.py
[58/149] Translating IllIIlIIII1.java... ✓ -> IllIIlIIII1.py
[59/149] Translating IlIlIIlIII1.java... ✓ -> IlIlIIlIII1.py
[60/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[61/149] Translating llllllIlIIIlll1.java... ✓ -> llllllIlIIIlll1.py
[62/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[63/149] Translating lIllIIIlIl1.java... ✓ -> lIllIIIlIl1.py
[64/149] Translating llllIllIl1.java... ✓ -> llllIllIl1.py
[65/149] Translating IlIllIlllIllI1.java... ✓ -> IlIllIlllIllI1.py
[66/149] Translating IlIlllIIlI1.java... ✓ -> IlIlllIIlI1.py
[67/149] Translating IllIIlIIII1.java... ✓ -> IllIIlIIII1.py
[68/149] Translating IlIlIIlIII1.java... ✓ -> IlIlIIlIII1.py
[69/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[70/149] Translating llllllIlIIIlll1.java... ✓ -> llllllIlIIIlll1.py
[71/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[72/149] Translating lIllIIIlIl1.java... ✓ -> lIllIIIlIl1.py
[73/149] Translating llllIllIl1.java... ✓ -> llllIllIl1.py
[74/149] Translating IlIllIlllIllI1.java... ✓ -> IlIllIlllIllI1.py
[75/149] Translating ObfuscatedStringResolver.java... ✓ -> ObfuscatedStringResolver.py
[76/149] Translating Constants.java... ✓ -> Constants.py
[77/149] Translating IlIlllIIlI1.java... ✓ -> IlIlllIIlI1.py
[78/149] Translating IllIIlIIII1.java... ✓ -> IllIIlIIII1.py
[79/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[80/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[81/149] Translating llllIllIl1.java... ✓ -> llllIllIl1.py
[82/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[83/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[84/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[85/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[86/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[87/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[88/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[89/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[90/149] Translating llllIllIl1.java... ✓ -> llllIllIl1.py
[91/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[92/149] Translating Kucopd.java... ✓ -> Kucopd.py
[93/149] Translating H5V1Refactor.java... ✓ -> H5V1Refactor.py
[94/149] Translating IlIlllIIlI1.java... ✓ -> IlIlllIIlI1.py
[95/149] Translating IllIIlIIII1.java... ✓ -> IllIIlIIII1.py
[96/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[97/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[98/149] Translating llllIllIl1.java... ✓ -> llllIllIl1.py
[99/149] Translating IlIlllIIlI1.java... ✓ -> IlIlllIIlI1.py
[100/149] Translating IllIIlIIII1.java... ✓ -> IllIIlIIII1.py
[101/149] Translating IlIlIIlIII1.java... ✓ -> IlIlIIlIII1.py
[102/149] Translating IIlIllIIll1.java... ✓ -> IIlIllIIll1.py
[103/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[104/149] Translating llllllIlIIIlll1.java... ✓ -> llllllIlIIIlll1.py
[105/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[106/149] Translating lIllIIIlIl1.java... ✓ -> lIllIIIlIl1.py
[107/149] Translating llllIllIl1.java... ✓ -> llllIllIl1.py
[108/149] Translating IlIllIlllIllI1.java... ✓ -> IlIllIlllIllI1.py
[109/149] Translating IlIlllIIlI1.java... ✓ -> IlIlllIIlI1.py
[110/149] Translating IllIIlIIII1.java... ✓ -> IllIIlIIII1.py
[111/149] Translating IlIlIIlIII1.java... ✓ -> IlIlIIlIII1.py
[112/149] Translating IIlIllIIll1.java... ✓ -> IIlIllIIll1.py
[113/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[114/149] Translating llllllIlIIIlll1.java... ✓ -> llllllIlIIIlll1.py
[115/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[116/149] Translating lIllIIIlIl1.java... ✓ -> lIllIIIlIl1.py
[117/149] Translating llllIllIl1.java... ✓ -> llllIllIl1.py
[118/149] Translating IlIllIlllIllI1.java... ✓ -> IlIllIlllIllI1.py
[119/149] Translating IllIIlIIII1.java... ✓ -> IllIIlIIII1.py
[120/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[121/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[122/149] Translating llllIllIl1.java... ✓ -> llllIllIl1.py
[123/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[124/149] Translating IlIlllIIlI1.java... ✓ -> IlIlllIIlI1.py
[125/149] Translating IllIIlIIII1.java... ✓ -> IllIIlIIII1.py
[126/149] Translating IlIlIIlIII1.java... ✓ -> IlIlIIlIII1.py
[127/149] Translating IIlIllIIll1.java... ✓ -> IIlIllIIll1.py
[128/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[129/149] Translating llllllIlIIIlll1.java... ✓ -> llllllIlIIIlll1.py
[130/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[131/149] Translating lIllIIIlIl1.java... ✓ -> lIllIIIlIl1.py
[132/149] Translating llllIllIl1.java... ✓ -> llllIllIl1.py
[133/149] Translating IlIllIlllIllI1.java... ✓ -> IlIllIlllIllI1.py
[134/149] Translating IllIIlIIII1.java... ✓ -> IllIIlIIII1.py
[135/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[136/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[137/149] Translating llllIllIl1.java... ✓ -> llllIllIl1.py
[138/149] Translating IlIlllIIlI1.java... ✓ -> IlIlllIIlI1.py
[139/149] Translating IllIIlIIII1.java... ✓ -> IllIIlIIII1.py
[140/149] Translating IlIllll1.java... ✓ -> IlIllll1.py
[141/149] Translating IlIlIIlIII1.java... ✓ -> IlIlIIlIII1.py
[142/149] Translating IIlIllIIll1.java... ✓ -> IIlIllIIll1.py
[143/149] Translating lIIIIlllllIlll1.java... ✓ -> lIIIIlllllIlll1.py
[144/149] Translating llllllIlIIIlll1.java... ✓ -> llllllIlIIIlll1.py
[145/149] Translating lllllIllIl1.java... ✓ -> lllllIllIl1.py
[146/149] Translating llllIIIIll1.java... ✓ -> llllIIIIll1.py
[147/149] Translating lIllIIIlIl1.java... ✓ -> lIllIIIlIl1.py
[148/149] Translating llllIllIl1.java... ✓ -> llllIllIl1.py
[149/149] Translating IlIllIlllIllI1.java... ✓ -> IlIllIlllIllI1.py

Creating __init__.py files...

================================================================================
Translation complete!
  Successfully translated: 149 files
  Failed: 0 files
